Title,Price,Rating,Result Type,Image URL,Product Link
"HP 15, Intel Core 5-120U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr), Office Home24, Silver,1.59kg, FD0640TU/fd0682tu, FHD Camera w/Shutter, BL Laptop",₹63266,3.5,Ad,https://m.media-amazon.com/images/I/71Go8vTBwXL._AC_UY218_.jpg,https://www.amazon.in/HP-Anti-Glare-Micro-Edge-FD0640TU-privacy/dp/B0FFTLRYRV/
"HP Omnibook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x,1TB SSD) 2K OLED,16''/40.6cm, Win11, M365*Office24, Glacier Silver, 1.59kg, fb0001QU, Backlit, Next-Gen AI Laptop",₹78950,4.2,Ad,https://m.media-amazon.com/images/I/71yaFtjgRzL._AC_UY218_.jpg,https://www.amazon.in/HP-Previously-Snapdragon-Processor-fb0001QU/dp/B0FRM3G9JF/
"HP 15 (2026), AMD Athlon Dual Core 7120U - (8 GB DDR5/512 GB SSD/AMD Radeon 610M Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" HD Display/Turbo Silver/Copilot Key/1.5kg/MS Office",₹39798,N/A,Organic,https://m.media-amazon.com/images/I/718-7YE0WQL._AC_UY218_.jpg,https://www.amazon.in/HP-15-Athlon-Dual-7120U/dp/B0GTYSL8KK
"Lenovo IdeaPad Slim 3, 12th Gen Intel Core i5-12450H (16GB LPDDR5, 512GB SSD), Anti-glare, FHD 15.6""(39.6cm), Win 11, Office Home 2024, Arctic Grey, 1.62Kg, 83ER00MDIN, Thin & Light, Backlit KB Laptop",₹54990,4.0,Organic,https://m.media-amazon.com/images/I/81leoJuYYaL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-IdeaPad-i5-12450H-Anti-glare-83ER00MDIN/dp/B0FH71SN5N
"ASUS Zenbook S14 (2026),Intel Core Ultra 9 386H,Intel iGPU,32GB RAM,1TB SSD,3K OLED,Touchscreen,14""(35.5 cm),Windows 11,M365 Basic(1Y),Office 24,Scandinavian White,1.2 Kg,UX5406AA-SU189WS,Copilot+ PC",₹249990,N/A,Organic,https://m.media-amazon.com/images/I/71ipUgh1EwL._AC_UY218_.jpg,https://www.amazon.in/ASUS-Zenbook-Touchscreen-Scandinavian-UX5406AA-SU189WS/dp/B0GTVSSBWK
"BrowseBook 14.1"" FHD IPS Laptop | Best Student & Office Work Laptop | Celeron N4020 | 4GB RAM | 128GB SSD | Windows 11 | 38Wh | 1.3kg | Grey",₹13990,2.8,Organic,https://m.media-amazon.com/images/I/71h+7L8gcrL._AC_UY218_.jpg,https://www.amazon.in/Neopticon-BrowseBook-Student-Celeron-Windows/dp/B0FC64RYH1
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty",₹40999,3.9,Organic,https://m.media-amazon.com/images/I/61AccNkmFFL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-V15-Lifetime-Validity-Warranty/dp/B0CL7CMTXS
"𝗗𝗲𝗹𝗹Laptop Model 5420 Laptop | Core i5 11th Gen | 8GB DDR4 RAM | 256GB SSD | 14"" FHD Display | Win 10 | A+ (Refab)",₹26799,N/A,Organic,https://m.media-amazon.com/images/I/51LHNjAjH9L._AC_UY218_.jpg,https://www.amazon.in/%F0%9D%97%97%F0%9D%97%B2%F0%9D%97%B9%F0%9D%97%B9Laptop-Model-5420-Laptop-Display/dp/B0GW8NCPJ3
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i5-13420H 15.3 inch (38.8cm) WUXGA IPS Laptop (16GB RAM/1TB SSD/Windows 11/MSO 365 Basic+Office 2024/Top Metal Cover/Backlit KB/Grey/1.6Kg), 83K100S0IN",₹84490,N/A,Organic,https://m.media-amazon.com/images/I/71QsXET2IML._AC_UY218_.jpg,https://www.amazon.in/Lenovo-IdeaPad-i5-13420H-Windows-83K100S0IN/dp/B0GWH84W5K
"acer Aspire 3, Intel Pentium N6000, 12GB LPDDR4X RAM, 512GB SSD, HD, 15.6""/39.62cm, Windows 11 Home, Pure Silver, 1.5KG, A325-45, Thin and Light Laptop",₹39990,3.4,Organic,https://m.media-amazon.com/images/I/61CISrp2PzL._AC_UY218_.jpg,https://www.amazon.in/acer-Pentium-LPDDR4X-39-62cm-A325-45/dp/B0GLXWY8ZX
